Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
1,160,130,1,0,0,39,BT1,1,TX,1,AB06,BY,12000,5,1974,ARER,3
0,115,0,0,95,1,64,BT1,2,TX,1,AB06,BY,17000,1,1935,ARER,2
1,185,0,0,60,1,44,BT2,2,VA,1,AB06,BY,6000,4,1900,ARER,2
0,105,0,0,0,0,63,BT1,1,VA,0,AB06,BY,7000,2,1966,ARER,1
1,175,0,0,0,0,42,BT1,1,MI,0,AB04,BY,13000,5,1971,BAAR,2
0,220,115,1,0,0,84,BT1,1,MI,0,AB03,LA,19000,2,2011,TGAR,3
0,105,0,0,0,0,53,BT3,1,VA,0,AB05,BY,11000,1,1980,TLEG,1
0,135,0,0,0,0,44,BT1,1,MI,0,AB03,BY,7000,1,1957,ARER,1
0,50,0,0,40,1,32,BT3,2,VA,0,AB05,AV,9000,0,1987,OMCE,1
1,95,0,0,90,1,44,BT1,2,CA,1,AB05,LA,14000,4,2008,TGAR,2
1,130,0,0,0,0,57,BT1,1,VA,0,AB03,AV,8000,2,1900,ARER,1
1,110,0,0,0,0,35,BT1,1,AL,0,AB03,BY,9000,5,1973,ARER,1
1,75,0,0,35,1,63,BT3,2,VA,0,AB05,BY,9000,1,1880,ARER,2
0,145,0,0,0,0,71,BT1,1,VA,0,AB03,LV,7000,2,1969,ARER,1
0,110,0,0,0,0,51,BT1,1,AL,0,AB01,BY,19000,3,1958,ARER,1
0,140,0,0,0,0,80,BT1,1,MI,0,AB01,BY,8000,2,1962,ARER,1
0,65,0,0,0,0,57,BT1,1,VA,0,AB03,AV,6000,1,1860,ARER,1
1,340,0,0,0,0,62,BT1,1,VA,1,AB03,LV,4000,2,1971,ARER,2
1,105,55,1,0,0,53,BT1,1,VA,0,AB05,LV,7000,5,1961,OMCE,1
1,110,0,0,0,0,73,BT1,1,MI,0,AB03,BY,8000,2,1970,ARER,1
1,125,75,1,70,1,64,BT1,2,CA,1,AB03,LV,15000,2,2004,TLEG,3
0,150,0,0,0,0,65,BT2,1,VA,0,AB03,BY,12000,2,1990,OMCE,2
1,70,0,0,50,1,53,BT1,2,VA,1,AB03,LA,18000,2,1930,ARER,2
1,155,0,0,65,1,45,BT1,2,VA,0,AB03,LA,6000,4,1860,ARER,1
1,165,0,0,0,0,68,BT1,1,VA,0,AB03,BY,10000,2,1973,OMCE,2
1,150,0,0,0,0,43,BT1,1,VA,0,AB03,BY,9000,4,1981,OMCE,1
1,200,0,0,0,0,38,BT1,1,VA,0,AB01,BY,10000,5,1905,TLEG,1
1,100,30,1,0,0,54,BT1,1,VA,0,AB04,BY,21000,3,1962,ARER,1
0,110,0,0,85,1,42,BT1,2,CA,1,AB05,LV,11000,3,2007,TLEG,2
1,120,0,0,0,0,68,BT1,1,VA,0,AB01,LV,13000,1,1972,ARER,1
1,115,0,0,0,0,49,BT1,1,VA,0,AB04,LA,10000,3,1977,ARER,1
0,120,0,0,0,0,51,BT1,1,VA,0,AB03,LV,6000,3,1959,ARER,1
1,110,0,0,35,1,50,BT1,2,MI,1,AB03,LV,4000,5,1905,ARER,1
1,60,0,0,30,1,53,BT1,2,MI,0,AB03,AO,5000,4,1900,TLEG,1
1,135,0,0,0,0,48,BT1,1,MI,1,AB03,LA,10000,4,1998,ARER,1
0,110,0,0,0,0,35,BT3,1,VA,0,AB02,LV,9000,1,2007,TLEG,2
0,140,0,0,0,0,28,BT1,1,VA,0,AB03,LV,6000,3,1979,OMCE,1
1,120,0,0,0,0,35,BT1,1,VA,0,AB02,LV,9000,4,1973,ARER,1
1,95,0,0,40,1,72,BT1,2,AL,0,AB02,BY,20000,1,1966,ARER,1
0,75,0,0,35,1,73,BT1,2,VA,0,AB03,LA,24000,1,1905,OMCE,1
0,80,0,0,0,0,58,BT3,1,MI,0,AB03,BY,13000,1,1984,ARER,1
0,125,0,0,0,0,49,BT1,1,VA,0,AB04,LV,7000,3,1977,ARER,2
1,120,5,1,60,1,39,BT1,2,VA,1,AB03,AO,5000,1,1910,ARER,1
0,135,50,1,0,0,64,BT1,1,MI,0,AB03,BY,16000,1,1961,BAAR,2
1,220,0,0,0,0,43,BT1,1,VA,0,AB03,BY,12000,5,1960,BAAR,2
1,100,60,1,45,1,51,BT1,2,VA,0,AB03,BY,24000,2,1925,TLEG,1
1,145,0,0,0,0,44,BT1,1,VA,0,AB03,LA,11000,4,1978,ARER,2
0,195,0,0,0,0,80,BT1,1,VA,0,AB04,BY,13000,1,1974,ARER,2
0,85,0,0,55,1,47,BT1,2,MI,0,AB03,AV,6000,1,1935,OMCE,1
1,280,0,0,0,0,44,BT2,1,CA,1,AB04,AV,13000,4,2009,OMCE,2
1,95,0,0,80,1,54,BT1,2,VA,0,AB05,AV,5000,2,1860,ARER,1
0,100,100,1,0,0,64,BT1,1,MI,1,AB04,BY,31000,2,1945,TLEG,1
1,130,0,0,0,0,48,BT1,1,VA,1,AB01,LV,10000,4,1973,TLEG,1
1,270,0,0,0,0,54,BT1,2,VA,0,AB01,BY,15000,1,2010,TGAR,2
1,220,25,1,50,1,51,BT1,3,MI,0,AB03,BY,4000,2,1880,TLEG,3
1,110,0,0,0,0,28,BT1,1,AL,0,AB04,LV,9000,1,2002,OMCE,1
1,130,0,0,0,0,43,BT1,1,VA,0,AB05,LV,4000,2,1973,ARER,1
1,70,0,0,45,1,32,BT3,2,AL,0,AB04,BY,9000,0,1860,ARER,1
0,105,105,1,75,1,47,BT1,2,CA,1,AB03,LV,6000,2,1945,TLEG,2
1,75,40,1,0,0,44,BT1,1,VA,1,AB04,BY,9000,2,1945,ARER,2
1,130,0,0,0,0,27,BT1,1,VA,1,AB03,BY,8000,4,1964,ARER,1
1,155,0,0,0,0,47,BT1,1,VA,1,AB03,LA,8000,4,1975,ARER,2
0,70,10,1,35,1,73,BT1,2,AL,0,AB03,LV,7000,2,1940,ARER,1
0,100,0,0,0,0,46,BT1,1,VA,0,AB04,BY,6000,2,1920,ARER,1
1,150,75,1,0,0,59,BT1,2,MI,1,AB03,BY,12000,1,1915,ARER,3
1,60,0,0,0,0,59,BT1,1,VA,0,AB01,BY,7000,1,1820,OMCE,1
0,65,0,0,15,1,45,BT1,2,VA,0,AB04,BY,10000,1,1900,ARER,1
1,120,0,0,0,0,66,BT1,1,VA,1,AB06,BY,14000,2,2002,TLEG,2
1,60,35,1,0,0,32,BT1,1,AL,0,AB03,LV,9000,2,1956,A0DM,1
1,125,0,0,0,0,58,BT1,1,AL,0,AB01,LV,8000,1,1979,OMCE,1
1,60,60,1,35,1,32,BT3,2,MI,0,AB03,BY,10000,0,1945,OMCE,2
1,60,60,1,40,1,32,BT3,2,MI,0,AB03,BY,11000,0,1945,TLEG,1
1,80,0,0,0,0,32,BT3,1,MI,0,AB03,BY,15000,0,1977,ARER,1
0,65,65,1,40,1,42,BT1,2,VA,0,AB03,LV,7000,5,1955,ARER,1
1,100,0,0,0,0,38,BT3,1,VA,1,AB03,BY,11000,5,1962,ARER,1
1,165,0,0,0,0,58,BT1,1,VA,0,AB01,LV,13000,2,1998,TLEG,2
1,160,0,0,0,0,56,BT1,1,VA,0,AB02,BY,10000,2,1981,ARER,1
1,110,110,1,0,0,69,BT1,1,AL,0,AB03,BY,9000,2,1950,ARER,2
0,85,85,1,60,1,60,BT1,2,VA,0,AB05,LA,19000,2,1988,ARER,3
